, ID,PARAM,TYPE,YEAR,DD,MONTH,wt_lvl__m,month
3371,02OA039,2,9,1915,24,Feb,,2
3372,02OA039,2,9,1915,25,Feb,,2
3373,02OA039,2,9,1915,26,Feb,,2
3374,02OA039,2,9,1915,27,Feb,,2
3375,02OA039,2,9,1915,28,Feb,,2
3376,02OA039,2,9,1915,29,Feb,,2
3377,02OA039,2,9,1915,30,Feb,,2
3378,02OA039,2,9,1915,31,Feb,,2
6696,02OA039,2,9,1915,1,Mar,,3
6697,02OA039,2,9,1915,2,Mar,,3
6698,02OA039,2,9,1915,3,Mar,,3
6699,02OA039,2,9,1915,4,Mar,,3
6700,02OA039,2,9,1915,5,Mar,,3
6701,02OA039,2,9,1915,6,Mar,,3
6702,02OA039,2,9,1915,7,Mar,,3
6703,02OA039,2,9,1915,8,Mar,,3
6704,02OA039,2,9,1915,9,Mar,,3
6705,02OA039,2,9,1915,10,Mar,,3
6706,02OA039,2,9,1915,11,Mar,,3
6707,02OA039,2,9,1915,12,Mar,,3
6708,02OA039,2,9,1915,13,Mar,,3
6709,02OA039,2,9,1915,14,Mar,,3
6710,02OA039,2,9,1915,15,Mar,,3
6711,02OA039,2,9,1915,16,Mar,,3
6712,02OA039,2,9,1915,17,Mar,,3
6713,02OA039,2,9,1915,18,Mar,,3
6714,02OA039,2,9,1915,19,Mar,,3
6715,02OA039,2,9,1915,20,Mar,,3
6716,02OA039,2,9,1915,21,Mar,,3
6717,02OA039,2,9,1915,22,Mar,,3
6718,02OA039,2,9,1915,23,Mar,,3
6719,02OA039,2,9,1915,24,Mar,,3
6720,02OA039,2,9,1915,25,Mar,,3
6721,02OA039,2,9,1915,26,Mar,,3
6722,02OA039,2,9,1915,27,Mar,,3
6723,02OA039,2,9,1915,28,Mar,,3
6724,02OA039,2,9,1915,29,Mar,,3
6725,02OA039,2,9,1915,30,Mar,,3
6726,02OA039,2,9,1915,31,Mar,,3
10044,02OA039,2,9,1915,1,Apr,,4
10045,02OA039,2,9,1915,2,Apr,,4
10046,02OA039,2,9,1915,3,Apr,,4
10047,02OA039,2,9,1915,4,Apr,,4
10048,02OA039,2,9,1915,5,Apr,,4
10049,02OA039,2,9,1915,6,Apr,,4
10050,02OA039,2,9,1915,7,Apr,,4
10051,02OA039,2,9,1915,8,Apr,,4
10052,02OA039,2,9,1915,9,Apr,,4
10053,02OA039,2,9,1915,10,Apr,,4
10054,02OA039,2,9,1915,11,Apr,,4
10055,02OA039,2,9,1915,12,Apr,,4
10056,02OA039,2,9,1915,13,Apr,,4
10057,02OA039,2,9,1915,14,Apr,,4
10058,02OA039,2,9,1915,15,Apr,,4
10059,02OA039,2,9,1915,16,Apr,,4
10060,02OA039,2,9,1915,17,Apr,,4
10061,02OA039,2,9,1915,18,Apr,,4
10062,02OA039,2,9,1915,19,Apr,,4
10063,02OA039,2,9,1915,20,Apr,,4
10064,02OA039,2,9,1915,21,Apr,,4
10065,02OA039,2,9,1915,22,Apr,,4
10066,02OA039,2,9,1915,23,Apr,,4
10067,02OA039,2,9,1915,24,Apr,,4
10068,02OA039,2,9,1915,25,Apr,,4
10069,02OA039,2,9,1915,26,Apr,,4
10070,02OA039,2,9,1915,27,Apr,,4
10071,02OA039,2,9,1915,28,Apr,,4
10072,02OA039,2,9,1915,29,Apr,,4
10073,02OA039,2,9,1915,30,Apr,,4
10074,02OA039,2,9,1915,31,Apr,,4
13392,02OA039,2,9,1915,1,May,,5
13393,02OA039,2,9,1915,2,May,,5
13394,02OA039,2,9,1915,3,May,,5
13395,02OA039,2,9,1915,4,May,,5
13396,02OA039,2,9,1915,5,May,,5
13397,02OA039,2,9,1915,6,May,,5
13398,02OA039,2,9,1915,7,May,,5
13399,02OA039,2,9,1915,8,May,,5
13400,02OA039,2,9,1915,9,May,,5
13401,02OA039,2,9,1915,10,May,,5
13402,02OA039,2,9,1915,11,May,,5
13403,02OA039,2,9,1915,12,May,,5
13404,02OA039,2,9,1915,13,May,,5
13405,02OA039,2,9,1915,14,May,,5
13406,02OA039,2,9,1915,15,May,,5
13407,02OA039,2,9,1915,16,May,,5
13408,02OA039,2,9,1915,17,May,,5
13409,02OA039,2,9,1915,18,May,,5
13410,02OA039,2,9,1915,19,May,,5
13411,02OA039,2,9,1915,20,May,,5
13412,02OA039,2,9,1915,21,May,,5
13413,02OA039,2,9,1915,22,May,,5
13414,02OA039,2,9,1915,23,May,21.01,5
13415,02OA039,2,9,1915,24,May,21.01,5
13416,02OA039,2,9,1915,25,May,21.01,5
13417,02OA039,2,9,1915,26,May,20.99,5
13418,02OA039,2,9,1915,27,May,20.96,5
13419,02OA039,2,9,1915,28,May,20.94,5
13420,02OA039,2,9,1915,29,May,20.93,5
13421,02OA039,2,9,1915,30,May,20.91,5
13422,02OA039,2,9,1915,31,May,20.89,5
16740,02OA039,2,9,1915,1,Jun,20.89,6
16741,02OA039,2,9,1915,2,Jun,20.87,6
16742,02OA039,2,9,1915,3,Jun,20.87,6
16743,02OA039,2,9,1915,4,Jun,20.86,6
16744,02OA039,2,9,1915,5,Jun,20.85,6
16745,02OA039,2,9,1915,6,Jun,20.83,6
16746,02OA039,2,9,1915,7,Jun,20.83,6
16747,02OA039,2,9,1915,8,Jun,20.82,6
16748,02OA039,2,9,1915,9,Jun,20.81,6
16749,02OA039,2,9,1915,10,Jun,20.81,6
16750,02OA039,2,9,1915,11,Jun,20.78,6
16751,02OA039,2,9,1915,12,Jun,20.78,6
16752,02OA039,2,9,1915,13,Jun,20.77,6
16753,02OA039,2,9,1915,14,Jun,20.8,6
16754,02OA039,2,9,1915,15,Jun,20.83,6
16755,02OA039,2,9,1915,16,Jun,20.85,6
16756,02OA039,2,9,1915,17,Jun,20.85,6
16757,02OA039,2,9,1915,18,Jun,20.83,6
16758,02OA039,2,9,1915,19,Jun,20.82,6
16759,02OA039,2,9,1915,20,Jun,20.82,6
16760,02OA039,2,9,1915,21,Jun,20.81,6
16761,02OA039,2,9,1915,22,Jun,20.78,6
16762,02OA039,2,9,1915,23,Jun,20.76,6
16763,02OA039,2,9,1915,24,Jun,20.78,6
16764,02OA039,2,9,1915,25,Jun,20.79,6
16765,02OA039,2,9,1915,26,Jun,20.79,6
16766,02OA039,2,9,1915,27,Jun,20.8,6
16767,02OA039,2,9,1915,28,Jun,20.82,6
16768,02OA039,2,9,1915,29,Jun,20.82,6
16769,02OA039,2,9,1915,30,Jun,20.8,6
16770,02OA039,2,9,1915,31,Jun,,6
20088,02OA039,2,9,1915,1,Jul,20.78,7
20089,02OA039,2,9,1915,2,Jul,20.76,7
20090,02OA039,2,9,1915,3,Jul,20.76,7
20091,02OA039,2,9,1915,4,Jul,20.76,7
20092,02OA039,2,9,1915,5,Jul,20.78,7
20093,02OA039,2,9,1915,6,Jul,20.76,7
20094,02OA039,2,9,1915,7,Jul,20.77,7
20095,02OA039,2,9,1915,8,Jul,20.75,7
20096,02OA039,2,9,1915,9,Jul,20.71,7
20097,02OA039,2,9,1915,10,Jul,20.7,7
20098,02OA039,2,9,1915,11,Jul,20.71,7
20099,02OA039,2,9,1915,12,Jul,20.72,7
20100,02OA039,2,9,1915,13,Jul,20.72,7
20101,02OA039,2,9,1915,14,Jul,20.71,7
20102,02OA039,2,9,1915,15,Jul,20.71,7
20103,02OA039,2,9,1915,16,Jul,20.7,7
20104,02OA039,2,9,1915,17,Jul,20.68,7
20105,02OA039,2,9,1915,18,Jul,20.68,7
20106,02OA039,2,9,1915,19,Jul,20.68,7
20107,02OA039,2,9,1915,20,Jul,20.7,7
20108,02OA039,2,9,1915,21,Jul,20.69,7
20109,02OA039,2,9,1915,22,Jul,20.68,7
20110,02OA039,2,9,1915,23,Jul,20.67,7
20111,02OA039,2,9,1915,24,Jul,20.65,7
20112,02OA039,2,9,1915,25,Jul,20.63,7
20113,02OA039,2,9,1915,26,Jul,20.62,7
20114,02OA039,2,9,1915,27,Jul,20.61,7
20115,02OA039,2,9,1915,28,Jul,20.61,7
20116,02OA039,2,9,1915,29,Jul,20.61,7
20117,02OA039,2,9,1915,30,Jul,20.61,7
20118,02OA039,2,9,1915,31,Jul,20.6,7
23436,02OA039,2,9,1915,1,Aug,20.57,8
23437,02OA039,2,9,1915,2,Aug,20.57,8
23438,02OA039,2,9,1915,3,Aug,20.55,8
23439,02OA039,2,9,1915,4,Aug,20.51,8
23440,02OA039,2,9,1915,5,Aug,20.52,8
23441,02OA039,2,9,1915,6,Aug,20.55,8
23442,02OA039,2,9,1915,7,Aug,20.58,8
23443,02OA039,2,9,1915,8,Aug,20.61,8
23444,02OA039,2,9,1915,9,Aug,20.65,8
23445,02OA039,2,9,1915,10,Aug,20.68,8
23446,02OA039,2,9,1915,11,Aug,20.7,8
23447,02OA039,2,9,1915,12,Aug,20.71,8
23448,02OA039,2,9,1915,13,Aug,20.7,8
23449,02OA039,2,9,1915,14,Aug,20.7,8
23450,02OA039,2,9,1915,15,Aug,20.71,8
23451,02OA039,2,9,1915,16,Aug,20.71,8
23452,02OA039,2,9,1915,17,Aug,20.71,8
23453,02OA039,2,9,1915,18,Aug,20.69,8
23454,02OA039,2,9,1915,19,Aug,20.69,8
23455,02OA039,2,9,1915,20,Aug,20.7,8
23456,02OA039,2,9,1915,21,Aug,20.71,8
23457,02OA039,2,9,1915,22,Aug,20.71,8
23458,02OA039,2,9,1915,23,Aug,20.75,8
23459,02OA039,2,9,1915,24,Aug,20.8,8
23460,02OA039,2,9,1915,25,Aug,20.82,8
23461,02OA039,2,9,1915,26,Aug,20.81,8
23462,02OA039,2,9,1915,27,Aug,20.79,8
23463,02OA039,2,9,1915,28,Aug,20.75,8
23464,02OA039,2,9,1915,29,Aug,20.72,8
23465,02OA039,2,9,1915,30,Aug,20.73,8
23466,02OA039,2,9,1915,31,Aug,20.74,8
26784,02OA039,2,9,1915,1,Sep,20.73,9
26785,02OA039,2,9,1915,2,Sep,20.72,9
26786,02OA039,2,9,1915,3,Sep,20.71,9
26787,02OA039,2,9,1915,4,Sep,20.7,9
26788,02OA039,2,9,1915,5,Sep,20.69,9
26789,02OA039,2,9,1915,6,Sep,20.69,9
26790,02OA039,2,9,1915,7,Sep,20.69,9
26791,02OA039,2,9,1915,8,Sep,20.69,9
26792,02OA039,2,9,1915,9,Sep,20.7,9
26793,02OA039,2,9,1915,10,Sep,20.69,9
26794,02OA039,2,9,1915,11,Sep,20.68,9
26795,02OA039,2,9,1915,12,Sep,20.66,9
26796,02OA039,2,9,1915,13,Sep,20.63,9
26797,02OA039,2,9,1915,14,Sep,20.63,9
26798,02OA039,2,9,1915,15,Sep,20.65,9
26799,02OA039,2,9,1915,16,Sep,20.67,9
26800,02OA039,2,9,1915,17,Sep,20.68,9
26801,02OA039,2,9,1915,18,Sep,20.66,9
26802,02OA039,2,9,1915,19,Sep,20.64,9
26803,02OA039,2,9,1915,20,Sep,20.64,9
26804,02OA039,2,9,1915,21,Sep,20.64,9
26805,02OA039,2,9,1915,22,Sep,20.64,9
26806,02OA039,2,9,1915,23,Sep,20.64,9
26807,02OA039,2,9,1915,24,Sep,20.63,9
26808,02OA039,2,9,1915,25,Sep,20.62,9
26809,02OA039,2,9,1915,26,Sep,20.59,9
26810,02OA039,2,9,1915,27,Sep,20.62,9
26811,02OA039,2,9,1915,28,Sep,20.62,9
26812,02OA039,2,9,1915,29,Sep,20.6,9
26813,02OA039,2,9,1915,30,Sep,20.61,9
26814,02OA039,2,9,1915,31,Sep,,9
30132,02OA039,2,9,1915,1,Oct,20.61,10
30133,02OA039,2,9,1915,2,Oct,20.58,10
30134,02OA039,2,9,1915,3,Oct,20.59,10
30135,02OA039,2,9,1915,4,Oct,20.63,10
30136,02OA039,2,9,1915,5,Oct,20.67,10
30137,02OA039,2,9,1915,6,Oct,20.7,10
30138,02OA039,2,9,1915,7,Oct,20.71,10
30139,02OA039,2,9,1915,8,Oct,20.7,10
30140,02OA039,2,9,1915,9,Oct,20.69,10
30141,02OA039,2,9,1915,10,Oct,20.68,10
30142,02OA039,2,9,1915,11,Oct,20.68,10
30143,02OA039,2,9,1915,12,Oct,20.7,10
30144,02OA039,2,9,1915,13,Oct,20.7,10
30145,02OA039,2,9,1915,14,Oct,20.7,10
30146,02OA039,2,9,1915,15,Oct,20.68,10
30147,02OA039,2,9,1915,16,Oct,20.64,10
30148,02OA039,2,9,1915,17,Oct,20.62,10
30149,02OA039,2,9,1915,18,Oct,20.64,10
30150,02OA039,2,9,1915,19,Oct,20.65,10
30151,02OA039,2,9,1915,20,Oct,20.65,10
30152,02OA039,2,9,1915,21,Oct,20.64,10
30153,02OA039,2,9,1915,22,Oct,20.63,10
30154,02OA039,2,9,1915,23,Oct,20.62,10
30155,02OA039,2,9,1915,24,Oct,20.6,10
30156,02OA039,2,9,1915,25,Oct,20.61,10
30157,02OA039,2,9,1915,26,Oct,20.62,10
30158,02OA039,2,9,1915,27,Oct,20.63,10
30159,02OA039,2,9,1915,28,Oct,20.64,10
30160,02OA039,2,9,1915,29,Oct,20.63,10
30161,02OA039,2,9,1915,30,Oct,20.61,10
30162,02OA039,2,9,1915,31,Oct,20.6,10
33480,02OA039,2,9,1915,1,Nov,20.61,11
33481,02OA039,2,9,1915,2,Nov,20.62,11
33482,02OA039,2,9,1915,3,Nov,20.61,11
33483,02OA039,2,9,1915,4,Nov,20.6,11
33484,02OA039,2,9,1915,5,Nov,20.55,11
33485,02OA039,2,9,1915,6,Nov,20.53,11
33486,02OA039,2,9,1915,7,Nov,20.51,11
33487,02OA039,2,9,1915,8,Nov,20.52,11
33488,02OA039,2,9,1915,9,Nov,20.52,11
33489,02OA039,2,9,1915,10,Nov,20.55,11
33490,02OA039,2,9,1915,11,Nov,20.54,11
33491,02OA039,2,9,1915,12,Nov,20.51,11
33492,02OA039,2,9,1915,13,Nov,20.53,11
33493,02OA039,2,9,1915,14,Nov,20.56,11
33494,02OA039,2,9,1915,15,Nov,20.58,11
33495,02OA039,2,9,1915,16,Nov,20.57,11
33496,02OA039,2,9,1915,17,Nov,20.57,11
33497,02OA039,2,9,1915,18,Nov,20.55,11
33498,02OA039,2,9,1915,19,Nov,20.49,11
33499,02OA039,2,9,1915,20,Nov,20.51,11
33500,02OA039,2,9,1915,21,Nov,20.6,11
33501,02OA039,2,9,1915,22,Nov,20.64,11
33502,02OA039,2,9,1915,23,Nov,20.65,11
33503,02OA039,2,9,1915,24,Nov,20.62,11
33504,02OA039,2,9,1915,25,Nov,20.57,11
33505,02OA039,2,9,1915,26,Nov,20.53,11
33506,02OA039,2,9,1915,27,Nov,20.51,11
33507,02OA039,2,9,1915,28,Nov,20.53,11
33508,02OA039,2,9,1915,29,Nov,20.54,11
33509,02OA039,2,9,1915,30,Nov,20.58,11
33510,02OA039,2,9,1915,31,Nov,,11
36828,02OA039,2,9,1915,1,Dec,20.59,12
36829,02OA039,2,9,1915,2,Dec,20.57,12
36830,02OA039,2,9,1915,3,Dec,20.56,12
36831,02OA039,2,9,1915,4,Dec,20.54,12
36832,02OA039,2,9,1915,5,Dec,20.51,12
36833,02OA039,2,9,1915,6,Dec,20.5,12
36834,02OA039,2,9,1915,7,Dec,,12
36835,02OA039,2,9,1915,8,Dec,,12
36836,02OA039,2,9,1915,9,Dec,,12
36837,02OA039,2,9,1915,10,Dec,,12
36838,02OA039,2,9,1915,11,Dec,,12
36839,02OA039,2,9,1915,12,Dec,,12
36840,02OA039,2,9,1915,13,Dec,20.46,12
36841,02OA039,2,9,1915,14,Dec,20.48,12
36842,02OA039,2,9,1915,15,Dec,20.52,12
36843,02OA039,2,9,1915,16,Dec,20.61,12
36844,02OA039,2,9,1915,17,Dec,20.69,12
36845,02OA039,2,9,1915,18,Dec,20.65,12
36846,02OA039,2,9,1915,19,Dec,20.58,12
36847,02OA039,2,9,1915,20,Dec,20.57,12
36848,02OA039,2,9,1915,21,Dec,20.57,12
36849,02OA039,2,9,1915,22,Dec,20.55,12
36850,02OA039,2,9,1915,23,Dec,20.53,12
36851,02OA039,2,9,1915,24,Dec,20.54,12
36852,02OA039,2,9,1915,25,Dec,20.55,12
36853,02OA039,2,9,1915,26,Dec,20.55,12
36854,02OA039,2,9,1915,27,Dec,20.56,12
36855,02OA039,2,9,1915,28,Dec,20.58,12
36856,02OA039,2,9,1915,29,Dec,20.57,12
36857,02OA039,2,9,1915,30,Dec,20.66,12
36858,02OA039,2,9,1915,31,Dec,20.75,12
31,02OA039,2,9,1916,1,Jan,20.85,1
32,02OA039,2,9,1916,2,Jan,20.9,1
33,02OA039,2,9,1916,3,Jan,20.96,1
34,02OA039,2,9,1916,4,Jan,20.96,1
35,02OA039,2,9,1916,5,Jan,21.03,1
36,02OA039,2,9,1916,6,Jan,21.03,1
37,02OA039,2,9,1916,7,Jan,21.15,1
38,02OA039,2,9,1916,8,Jan,21.24,1
39,02OA039,2,9,1916,9,Jan,21.24,1
40,02OA039,2,9,1916,10,Jan,21.27,1
41,02OA039,2,9,1916,11,Jan,21.23,1
42,02OA039,2,9,1916,12,Jan,21.15,1
43,02OA039,2,9,1916,13,Jan,21.16,1
44,02OA039,2,9,1916,14,Jan,21.18,1
45,02OA039,2,9,1916,15,Jan,21.19,1
46,02OA039,2,9,1916,16,Jan,21.17,1
47,02OA039,2,9,1916,17,Jan,21.12,1
48,02OA039,2,9,1916,18,Jan,21.09,1
49,02OA039,2,9,1916,19,Jan,21.01,1
50,02OA039,2,9,1916,20,Jan,21.01,1
51,02OA039,2,9,1916,21,Jan,21.08,1
52,02OA039,2,9,1916,22,Jan,20.93,1
53,02OA039,2,9,1916,23,Jan,20.86,1
54,02OA039,2,9,1916,24,Jan,20.95,1
55,02OA039,2,9,1916,25,Jan,20.97,1
56,02OA039,2,9,1916,26,Jan,20.9,1
57,02OA039,2,9,1916,27,Jan,20.9,1
58,02OA039,2,9,1916,28,Jan,20.94,1
59,02OA039,2,9,1916,29,Jan,21.06,1
60,02OA039,2,9,1916,30,Jan,21.13,1
61,02OA039,2,9,1916,31,Jan,21.18,1
3379,02OA039,2,9,1916,1,Feb,21.22,2
3380,02OA039,2,9,1916,2,Feb,21.13,2
3381,02OA039,2,9,1916,3,Feb,21.15,2
3382,02OA039,2,9,1916,4,Feb,21.09,2
3383,02OA039,2,9,1916,5,Feb,21.06,2
3384,02OA039,2,9,1916,6,Feb,21.07,2
3385,02OA039,2,9,1916,7,Feb,21.05,2
3386,02OA039,2,9,1916,8,Feb,21.04,2
3387,02OA039,2,9,1916,9,Feb,21.08,2
3388,02OA039,2,9,1916,10,Feb,21.1,2
3389,02OA039,2,9,1916,11,Feb,21.16,2
3390,02OA039,2,9,1916,12,Feb,21.21,2
3391,02OA039,2,9,1916,13,Feb,21.12,2
3392,02OA039,2,9,1916,14,Feb,21.07,2
3393,02OA039,2,9,1916,15,Feb,21.07,2
3394,02OA039,2,9,1916,16,Feb,21.07,2
3395,02OA039,2,9,1916,17,Feb,21.04,2
3396,02OA039,2,9,1916,18,Feb,20.95,2
3397,02OA039,2,9,1916,19,Feb,20.78,2
3398,02OA039,2,9,1916,20,Feb,20.74,2
3399,02OA039,2,9,1916,21,Feb,20.85,2
3400,02OA039,2,9,1916,22,Feb,20.97,2
3401,02OA039,2,9,1916,23,Feb,21.0,2
3402,02OA039,2,9,1916,24,Feb,21.01,2
3403,02OA039,2,9,1916,25,Feb,20.98,2
3404,02OA039,2,9,1916,26,Feb,20.93,2
3405,02OA039,2,9,1916,27,Feb,20.84,2
3406,02OA039,2,9,1916,28,Feb,20.82,2
3407,02OA039,2,9,1916,29,Feb,20.87,2
3408,02OA039,2,9,1916,30,Feb,,2
3409,02OA039,2,9,1916,31,Feb,,2
6727,02OA039,2,9,1916,1,Mar,21.03,3
6728,02OA039,2,9,1916,2,Mar,21.12,3
6729,02OA039,2,9,1916,3,Mar,21.07,3
6730,02OA039,2,9,1916,4,Mar,21.0,3
6731,02OA039,2,9,1916,5,Mar,20.92,3
6732,02OA039,2,9,1916,6,Mar,20.91,3
6733,02OA039,2,9,1916,7,Mar,20.85,3
6734,02OA039,2,9,1916,8,Mar,20.82,3
6735,02OA039,2,9,1916,9,Mar,20.79,3
6736,02OA039,2,9,1916,10,Mar,20.75,3
6737,02OA039,2,9,1916,11,Mar,20.75,3
6738,02OA039,2,9,1916,12,Mar,20.8,3
6739,02OA039,2,9,1916,13,Mar,20.76,3
6740,02OA039,2,9,1916,14,Mar,20.71,3
6741,02OA039,2,9,1916,15,Mar,20.72,3
6742,02OA039,2,9,1916,16,Mar,20.74,3
6743,02OA039,2,9,1916,17,Mar,20.74,3
6744,02OA039,2,9,1916,18,Mar,20.77,3
6745,02OA039,2,9,1916,19,Mar,20.86,3
6746,02OA039,2,9,1916,20,Mar,20.85,3
6747,02OA039,2,9,1916,21,Mar,20.75,3
6748,02OA039,2,9,1916,22,Mar,20.73,3
6749,02OA039,2,9,1916,23,Mar,20.73,3
6750,02OA039,2,9,1916,24,Mar,20.69,3
6751,02OA039,2,9,1916,25,Mar,20.67,3
6752,02OA039,2,9,1916,26,Mar,20.64,3
6753,02OA039,2,9,1916,27,Mar,20.63,3
6754,02OA039,2,9,1916,28,Mar,20.64,3
6755,02OA039,2,9,1916,29,Mar,20.74,3
6756,02OA039,2,9,1916,30,Mar,20.98,3
6757,02OA039,2,9,1916,31,Mar,21.25,3
10075,02OA039,2,9,1916,1,Apr,21.48,4
10076,02OA039,2,9,1916,2,Apr,21.64,4
10077,02OA039,2,9,1916,3,Apr,21.78,4
10078,02OA039,2,9,1916,4,Apr,21.78,4
10079,02OA039,2,9,1916,5,Apr,21.72,4
10080,02OA039,2,9,1916,6,Apr,21.69,4
10081,02OA039,2,9,1916,7,Apr,21.71,4
10082,02OA039,2,9,1916,8,Apr,21.68,4
10083,02OA039,2,9,1916,9,Apr,21.62,4
10084,02OA039,2,9,1916,10,Apr,21.61,4
10085,02OA039,2,9,1916,11,Apr,21.65,4
10086,02OA039,2,9,1916,12,Apr,21.72,4
10087,02OA039,2,9,1916,13,Apr,21.74,4
10088,02OA039,2,9,1916,14,Apr,21.77,4
10089,02OA039,2,9,1916,15,Apr,21.75,4
10090,02OA039,2,9,1916,16,Apr,21.75,4
10091,02OA039,2,9,1916,17,Apr,21.81,4
10092,02OA039,2,9,1916,18,Apr,21.85,4
10093,02OA039,2,9,1916,19,Apr,21.88,4
10094,02OA039,2,9,1916,20,Apr,21.92,4
10095,02OA039,2,9,1916,21,Apr,21.85,4
10096,02OA039,2,9,1916,22,Apr,21.75,4
10097,02OA039,2,9,1916,23,Apr,21.78,4
10098,02OA039,2,9,1916,24,Apr,21.95,4
10099,02OA039,2,9,1916,25,Apr,21.96,4
10100,02OA039,2,9,1916,26,Apr,21.97,4
10101,02OA039,2,9,1916,27,Apr,21.96,4
10102,02OA039,2,9,1916,28,Apr,21.96,4
10103,02OA039,2,9,1916,29,Apr,21.97,4
10104,02OA039,2,9,1916,30,Apr,21.97,4
10105,02OA039,2,9,1916,31,Apr,,4
13423,02OA039,2,9,1916,1,May,22.0,5
13424,02OA039,2,9,1916,2,May,22.02,5
13425,02OA039,2,9,1916,3,May,22.03,5
13426,02OA039,2,9,1916,4,May,22.07,5
13427,02OA039,2,9,1916,5,May,22.07,5
13428,02OA039,2,9,1916,6,May,22.09,5
13429,02OA039,2,9,1916,7,May,22.1,5
13430,02OA039,2,9,1916,8,May,22.11,5
13431,02OA039,2,9,1916,9,May,22.11,5
13432,02OA039,2,9,1916,10,May,22.1,5
13433,02OA039,2,9,1916,11,May,22.09,5
13434,02OA039,2,9,1916,12,May,22.1,5
13435,02OA039,2,9,1916,13,May,22.06,5
13436,02OA039,2,9,1916,14,May,22.02,5
13437,02OA039,2,9,1916,15,May,21.96,5
13438,02OA039,2,9,1916,16,May,21.91,5
13439,02OA039,2,9,1916,17,May,21.93,5
13440,02OA039,2,9,1916,18,May,22.13,5
13441,02OA039,2,9,1916,19,May,22.34,5
13442,02OA039,2,9,1916,20,May,22.42,5
13443,02OA039,2,9,1916,21,May,22.44,5
13444,02OA039,2,9,1916,22,May,22.4,5
13445,02OA039,2,9,1916,23,May,22.35,5
13446,02OA039,2,9,1916,24,May,22.31,5
13447,02OA039,2,9,1916,25,May,22.28,5
13448,02OA039,2,9,1916,26,May,22.24,5
13449,02OA039,2,9,1916,27,May,22.18,5
13450,02OA039,2,9,1916,28,May,22.13,5
13451,02OA039,2,9,1916,29,May,22.1,5
13452,02OA039,2,9,1916,30,May,22.07,5
13453,02OA039,2,9,1916,31,May,22.04,5
16771,02OA039,2,9,1916,1,Jun,22.01,6
16772,02OA039,2,9,1916,2,Jun,21.98,6
16773,02OA039,2,9,1916,3,Jun,21.95,6
16774,02OA039,2,9,1916,4,Jun,21.96,6
16775,02OA039,2,9,1916,5,Jun,21.96,6
16776,02OA039,2,9,1916,6,Jun,21.95,6
16777,02OA039,2,9,1916,7,Jun,21.9,6
16778,02OA039,2,9,1916,8,Jun,21.84,6
16779,02OA039,2,9,1916,9,Jun,21.82,6
16780,02OA039,2,9,1916,10,Jun,21.84,6
16781,02OA039,2,9,1916,11,Jun,21.83,6
16782,02OA039,2,9,1916,12,Jun,21.83,6
16783,02OA039,2,9,1916,13,Jun,21.81,6
